parent,child,mutual
cell,nematoblast,0
cell,nephrocyte,0
cell,nephrogenic mesenchyme stem cell,0
cell,nerve cell,0
cell,neural cell,0
cell,neural stem cell,0
cell,neuron,0
cell,neuron of cerebral cortex,0
cell,neuron of the forebrain,0
cell,neuronal stem cell,0
cell,nonkeratinized cell of stratum corneum of esophageal epithelium,0
cell,nsc,0
cell,nucleate cell,0
cell,pdc,0
cell,peripheral blood mononuclear cell,0
cell,phagocyte,0
cell,phagocyte sensu nematoda and protostomia,0
cell,phagocyte sensu vertebrata,0
cell,plasmacytoid dendritic cell,0
cell,plasmacytoid monocyte,0
cell,plasmacytoid t cell,0
cell,polynuclear cells,0
cell,precursor cell,0
cell,professional antigen presenting cell,0
cell,progenitor cell,0
cell,renal filtration cell,0
cell,retinal bipolar neuron,0
cell,retinal cell,0
cell,secretory cell,0
cell,sensory neuron,0
cell,single nucleate cell,0
cell,skin keratinocyte,0
cell,smcs,0
cell,smooth muscle cell,0
cell,smooth muscle cell of bladder,0
cell,smooth muscle fiber,0
cell,spermatid,0
cell,squamous epithelial cell,0
cell,stem cell,0
cell,stem cells mesenchymal,0
cell,stratified epithelial cell,0
cell,stuff accumulating cell,0
cell,t cell,0
cell,t lymphocyte,0
cell,t-associated plasma cell,0
cell,t-cell,0
cell,t-lymphocyte,0
cell,tip cell,0
cell,type 1 dc,0
cell,type 2 dc,0
cell,type 4 cone bipolar cell sensu mus,0
cell,visceral muscle cell,0
cell,visual system neuron,0
cell,wbc,0
cell,white blood cell,0
cell of epidermis,epidermal cell,1
cell of epidermis,epidermal keratinocyte,0
cell of epidermis,epithelial cell of skin,1
cell of epidermis,hair follicle cell,0
cell of epidermis,keratincyte of epidermis,0
cell of epidermis,skin keratinocyte,0
central nervous system neuron,cerebral cortex neuron,0
central nervous system neuron,cortical neuron,0
central nervous system neuron,forebrain neuron,0
central nervous system neuron,intratelencephalic-projecting glutamatergic cortical neuron,0
central nervous system neuron,it neuron,0
central nervous system neuron,l23-6 intratelencephalic projecting glutamatergic neuron,0
central nervous system neuron,l23-6 it projecting neuron,0
central nervous system neuron,l6 intratelencephalic projecting glutamatergic neuron,0
central nervous system neuron,l6 it,0
central nervous system neuron,neuron of cerebral cortex,0
central nervous system neuron,neuron of the forebrain,0
central nervous system neuron,type 4 cone bipolar cell sensu mus,0
cerebral cortex neuron,cortical neuron,1
cerebral cortex neuron,intratelencephalic-projecting glutamatergic cortical neuron,0
cerebral cortex neuron,l23-6 intratelencephalic projecting glutamatergic neuron,0
cerebral cortex neuron,l23-6 it projecting neuron,0
cerebral cortex neuron,l6 intratelencephalic projecting glutamatergic neuron,0
cerebral cortex neuron,l6 it,0
cerebral cortex neuron,neuron of cerebral cortex,1
cfu-f,colony-forming unit-fibroblast,1
circulating angiogenic cell,adult endothelial progenitor cell,0
circulating angiogenic cell,epc,0
colony-forming unit-fibroblast,cfu-f,1
cone retinal bipolar cell,db3 cone bipolar cell,0
cone retinal bipolar cell,type 4 cone bipolar cell sensu mus,0
connective tissue cell,angioblastic mesenchymal cell,0
connective tissue cell,bmsc,0
connective tissue cell,bone marrow stromal cells,0
connective tissue cell,cfu-f,0
connective tissue cell,colony-forming unit-fibroblast,0
connective tissue cell,dendritic reticular cell,0
connective tissue cell,dermal dendritic cell,0
connective tissue cell,marrow stromal cells,0
connective tissue cell,mesenchymal precursor cell,0
connective tissue cell,mesenchymal progenitor cells,0
connective tissue cell,mesenchymal stem cell,0
connective tissue cell,mesenchymal stromal cell,0
connective tissue cell,mesenchymal stromal cells,0
connective tissue cell,msc,0
connective tissue cell,stem cells mesenchymal,0
contractile cell,muscle cell,0
contractile cell,muscle fiber,0
contractile cell,myocyte,0
contractile cell,myocytes smooth muscle,0
contractile cell,smooth muscle cell,0
contractile cell,smooth muscle cell of bladder,0
contractile cell,smooth muscle fiber,0
contractile cell,visceral muscle cell,0
conventional dendritic cell,cd11b-positive dendritic cell,0
conventional dendritic cell,cd11ccd123- dc,0
conventional dendritic cell,cd141-positive myeloid dendritic cell,0
conventional dendritic cell,cd1a-positive dermal dendritic cell,0
conventional dendritic cell,dc1,0
conventional dendritic cell,dc2,0
conventional dendritic cell,immature conventional dendritic cell,0
conventional dendritic cell,mdc,0
conventional dendritic cell,myeloid dendritic cell,1
conventional dendritic cell,type 1 dc,0
conventional dendritic cell,type 2 dc,0
corneal epithelial cell,epithelial cell of cornea,1
cortical neuron,cerebral cortex neuron,1
cortical neuron,intratelencephalic-projecting glutamatergic cortical neuron,0
cortical neuron,it neuron,0
cortical neuron,l23-6 intratelencephalic projecting glutamatergic neuron,0
cortical neuron,l23-6 it projecting neuron,0
cortical neuron,l6 intratelencephalic projecting glutamatergic neuron,0
cortical neuron,neuron of cerebral cortex,0
dc1,cd141-positive myeloid dendritic cell,0
dc1,type 1 dc,0
dc2,type 2 dc,0
dendritic cell,cd11b-positive dendritic cell,0
dendritic cell,cd11ccd123- dc,0
dendritic cell,cd141-positive myeloid dendritic cell,0
dendritic cell,cd1a dermal dc,0
dendritic cell,cd1a-positive dermal dendritic cell,0
dendritic cell,cdc,0
dendritic cell,conventional dendritic cell,0
dendritic cell,dc1,0
dendritic cell,dc2,0
dendritic cell,dendritic reticular cell,0
dendritic cell,dermal dendritic cell,0
dendritic cell,immature cd1a-positive dermal dendritic cell,0
dendritic cell,immature conventional dendritic cell,0
dendritic cell,immature dermal dendritic cell,0
dendritic cell,immature myeloid dendritic cell,0
dendritic cell,lymphoid dendritic cell,0
dendritic cell,mdc,0
dendritic cell,myeloid dendritic cell,0
dendritic cell,pdc,0
dendritic cell,plasmacytoid dendritic cell,0
dendritic cell,type 1 dc,0
dendritic cell,type 2 dc,0
dermal dendritic cell,cd1a dermal dc,0
dermal dendritic cell,cd1a-positive dermal dendritic cell,0
dermal dendritic cell,immature cd1a-positive dermal dendritic cell,0
dermal dendritic cell,immature dermal dendritic cell,0
ecto-epithelial cell,epidermal keratinocyte,0
ecto-epithelial cell,general ecto-epithelial cell,0
ecto-epithelial cell,hair follicle cell,0
ecto-epithelial cell,hair follicular keratinocyte,0
ecto-epithelial cell,skin keratinocyte,0
electrically active cell,afferent neuron,0
electrically active cell,central nervous system neuron,0
electrically active cell,cerebral cortex neuron,0
electrically active cell,cone retinal bipolar cell,0
electrically active cell,cortical neuron,0
electrically active cell,db3 cone bipolar cell,0
electrically active cell,electrically responsive cell,1
electrically active cell,electrically signaling cell,1
electrically active cell,forebrain neuron,0
electrically active cell,geniculate ganglion vglut2 neuron,0
electrically active cell,glutamatergic neuron,0
electrically active cell,input neuron,0
electrically active cell,intratelencephalic-projecting glutamatergic cortical neuron,0
electrically active cell,it neuron,0
electrically active cell,l23-6 intratelencephalic projecting glutamatergic neuron,0
electrically active cell,l23-6 it projecting neuron,0
electrically active cell,l6 intratelencephalic projecting glutamatergic neuron,0
electrically active cell,l6 it,0
electrically active cell,muscle cell,0
electrically active cell,muscle fiber,0
electrically active cell,myocyte,0
electrically active cell,myocytes smooth muscle,0
electrically active cell,nerve cell,0
electrically active cell,neural cell,0
electrically active cell,neuron,0
electrically active cell,neuron of cerebral cortex,0
electrically active cell,neuron of the forebrain,0
electrically active cell,retinal bipolar neuron,0
electrically active cell,sensory neuron,0
electrically active cell,smooth muscle cell,0
electrically active cell,smooth muscle fiber,0
electrically active cell,type 4 cone bipolar cell sensu mus,0
electrically active cell,visceral muscle cell,0
electrically active cell,visual system neuron,0
electrically responsive cell,afferent neuron,0
electrically responsive cell,central nervous system neuron,0
electrically responsive cell,cerebral cortex neuron,0
electrically responsive cell,cone retinal bipolar cell,0
electrically responsive cell,cortical neuron,0
electrically responsive cell,db3 cone bipolar cell,0
electrically responsive cell,electrically active cell,1
electrically responsive cell,electrically signaling cell,1
electrically responsive cell,forebrain neuron,0
electrically responsive cell,geniculate ganglion vglut2 neuron,0
electrically responsive cell,glutamatergic neuron,0
electrically responsive cell,input neuron,0
electrically responsive cell,intratelencephalic-projecting glutamatergic cortical neuron,0
electrically responsive cell,it neuron,0
electrically responsive cell,l23-6 intratelencephalic projecting glutamatergic neuron,0
electrically responsive cell,l23-6 it projecting neuron,0
electrically responsive cell,l6 intratelencephalic projecting glutamatergic neuron,0
electrically responsive cell,l6 it,0
electrically responsive cell,muscle cell,0
electrically responsive cell,muscle fiber,0
electrically responsive cell,myocyte,0
electrically responsive cell,myocytes smooth muscle,0
electrically responsive cell,nerve cell,0
electrically responsive cell,neural cell,0
electrically responsive cell,neuron,0
electrically responsive cell,neuron of cerebral cortex,0
electrically responsive cell,neuron of the forebrain,0
electrically responsive cell,retinal bipolar neuron,0
electrically responsive cell,sensory neuron,0
electrically responsive cell,smooth muscle cell,0
electrically responsive cell,smooth muscle fiber,0
electrically responsive cell,type 4 cone bipolar cell sensu mus,0
electrically responsive cell,visceral muscle cell,0
electrically responsive cell,visual system neuron,0
electrically signaling cell,afferent neuron,0
electrically signaling cell,central nervous system neuron,0
electrically signaling cell,cerebral cortex neuron,0
electrically signaling cell,cone retinal bipolar cell,0
electrically signaling cell,cortical neuron,0
electrically signaling cell,db3 cone bipolar cell,0
electrically signaling cell,electrically active cell,1
electrically signaling cell,electrically responsive cell,1
electrically signaling cell,forebrain neuron,0
electrically signaling cell,geniculate ganglion vglut2 neuron,0
electrically signaling cell,glutamatergic neuron,0
electrically signaling cell,input neuron,0
electrically signaling cell,intratelencephalic-projecting glutamatergic cortical neuron,0
electrically signaling cell,it neuron,0
electrically signaling cell,l23-6 intratelencephalic projecting glutamatergic neuron,0
electrically signaling cell,l23-6 it projecting neuron,0
electrically signaling cell,l6 intratelencephalic projecting glutamatergic neuron,0
electrically signaling cell,l6 it,0
electrically signaling cell,muscle cell,0
electrically signaling cell,myocyte,0
electrically signaling cell,nerve cell,0
electrically signaling cell,neuron,0
electrically signaling cell,neuron of cerebral cortex,0
electrically signaling cell,neuron of the forebrain,0
electrically signaling cell,retinal bipolar neuron,0
electrically signaling cell,sensory neuron,0
electrically signaling cell,type 4 cone bipolar cell sensu mus,0
electrically signaling cell,visual system neuron,0
endo-epithelial cell,epithelial cell of endometrial gland,0
endo-epithelial cell,glandular epithelial cell of endometrium,0
endometrial glandular epithelial cell,epithelial cell of endometrial gland,1
endometrial glandular epithelial cell,glandular epithelial cell of endometrium,1
epc,adult endothelial progenitor cell,0
epidermal cell,cell of epidermis,1
epidermal cell,epidermal keratinocyte,0
epidermal cell,epithelial cell of skin,1
epidermal cell,hair follicle cell,0
epidermal cell,hair follicular keratinocyte,0
epidermal cell,keratincyte of epidermis,0
epidermal cell,keratinocyte,0
epidermal cell,skin keratinocyte,0
epidermal keratinocyte,hair follicular keratinocyte,0
epidermal keratinocyte,keratincyte of epidermis,0
epidermal keratinocyte,skin keratinocyte,1
epithelial cell,bladder cell,0
epithelial cell,cell of epidermis,0
epithelial cell,corneal epithelial cell,0
epithelial cell,ecto-epithelial cell,0
epithelial cell,endo-epithelial cell,0
epithelial cell,endometrial glandular epithelial cell,0
epithelial cell,epidermal cell,0
epithelial cell,epidermal keratinocyte,0
epithelial cell,epithelial cell of alimentary canal,0
epithelial cell,epithelial cell of cornea,0
epithelial cell,epithelial cell of endometrial gland,0
epithelial cell,epithelial cell of esophagus,0
epithelial cell,epithelial cell of skin,0
epithelial cell,epithelial cell of stomach,0
epithelial cell,epithelial cell of stratum corneum of esophageal epithelium,0
epithelial cell,epithelial cell of uterus,0
epithelial cell,epitheliocyte,0
epithelial cell,general ecto-epithelial cell,0
epithelial cell,glandular epithelial cell of endometrium,0
epithelial cell,hair follicle cell,0
epithelial cell,hair follicular keratinocyte,0
epithelial cell,keratincyte of epidermis,0
epithelial cell,keratinizing barrier epithelial cell,0
epithelial cell,keratinocyte,0
epithelial cell,meso-epithelial cell,0
epithelial cell,nonkeratinized cell of stratum corneum of esophageal epithelium,0
epithelial cell,skin keratinocyte,0
epithelial cell,squamous epithelial cell,0
epithelial cell,stratified epithelial cell,0
epithelial cell of alimentary canal,epithelial cell of esophagus,0
epithelial cell of alimentary canal,epithelial cell of stomach,0
epithelial cell of alimentary canal,epithelial cell of stratum corneum of esophageal epithelium,0
epithelial cell of alimentary canal,nonkeratinized cell of stratum corneum of esophageal epithelium,0
epithelial cell of cornea,corneal epithelial cell,1
epithelial cell of endometrial gland,endometrial glandular epithelial cell,1
epithelial cell of endometrial gland,glandular epithelial cell of endometrium,1
epithelial cell of esophagus,epithelial cell of stratum corneum of esophageal epithelium,0
epithelial cell of esophagus,nonkeratinized cell of stratum corneum of esophageal epithelium,0
epithelial cell of skin,cell of epidermis,1
epithelial cell of skin,epidermal cell,1
epithelial cell of skin,epidermal keratinocyte,0
epithelial cell of skin,hair follicle cell,0
epithelial cell of skin,hair follicular keratinocyte,0
epithelial cell of skin,keratincyte of epidermis,0
epithelial cell of skin,skin keratinocyte,0
epithelial cell of stratum corneum of esophageal epithelium,nonkeratinized cell of stratum corneum of esophageal epithelium,0
epithelial cell of uterus,endometrial glandular epithelial cell,0
epithelial cell of uterus,epithelial cell of endometrial gland,0
epithelial cell of uterus,glandular epithelial cell of endometrium,0
epitheliocyte,cell of epidermis,0
epitheliocyte,corneal epithelial cell,0
epitheliocyte,endometrial glandular epithelial cell,0
epitheliocyte,epidermal cell,0
epitheliocyte,epidermal keratinocyte,0
epitheliocyte,epithelial cell of alimentary canal,0
epitheliocyte,epithelial cell of cornea,0
epitheliocyte,epithelial cell of endometrial gland,0
epitheliocyte,epithelial cell of esophagus,0
epitheliocyte,epithelial cell of skin,0
epitheliocyte,epithelial cell of stomach,0
epitheliocyte,epithelial cell of stratum corneum of esophageal epithelium,0
epitheliocyte,epithelial cell of uterus,0
epitheliocyte,general ecto-epithelial cell,0
epitheliocyte,glandular epithelial cell of endometrium,0
epitheliocyte,keratincyte of epidermis,0
epitheliocyte,keratinizing barrier epithelial cell,0
epitheliocyte,keratinocyte,0
epitheliocyte,meso-epithelial cell,0
epitheliocyte,nonkeratinized cell of stratum corneum of esophageal epithelium,0
epitheliocyte,skin keratinocyte,0
epitheliocyte,squamous epithelial cell,0
epitheliocyte,stratified epithelial cell,0
eukaryotic cell,adult endothelial progenitor cell,0
eukaryotic cell,afferent neuron,0
eukaryotic cell,alpha-beta t cell,0
eukaryotic cell,alpha-beta t lymphocyte,0
eukaryotic cell,alpha-beta t-cell,0
eukaryotic cell,alpha-beta t-lymphocyte,0
eukaryotic cell,angioblast,0
eukaryotic cell,angioblastic mesenchymal cell,0
eukaryotic cell,animal stem cell,0
eukaryotic cell,apc,0
eukaryotic cell,bc,0
eukaryotic cell,bcs,0
eukaryotic cell,binucleate cell,0
eukaryotic cell,bladder cell,0
eukaryotic cell,bmsc,0
eukaryotic cell,bone marrow stromal cells,0
eukaryotic cell,bps,0
eukaryotic cell,cd11b-positive dendritic cell,0
eukaryotic cell,cd11ccd123- dc,0
eukaryotic cell,cd141-positive myeloid dendritic cell,0
eukaryotic cell,cd1a dermal dc,0
eukaryotic cell,cd1a-positive dermal dendritic cell,0
eukaryotic cell,cd3e-positive t cell,0
eukaryotic cell,cd3epsilon t cell,0
eukaryotic cell,cdc,0
eukaryotic cell,cell of epidermis,0
eukaryotic cell,central nervous system neuron,0
eukaryotic cell,cerebral cortex neuron,0
eukaryotic cell,cfu-f,0
eukaryotic cell,chondroplast,0
eukaryotic cell,choroidal cell of the eye,0
eukaryotic cell,circulating angiogenic cell,0
eukaryotic cell,colony-forming unit-fibroblast,0
eukaryotic cell,cone retinal bipolar cell,0
eukaryotic cell,connective tissue cell,0
eukaryotic cell,contractile cell,0
eukaryotic cell,conventional dendritic cell,0
eukaryotic cell,corneal epithelial cell,0
eukaryotic cell,cortical neuron,0
eukaryotic cell,db3 cone bipolar cell,0
eukaryotic cell,dc1,0
eukaryotic cell,dc2,0
eukaryotic cell,dendritic cell,0
eukaryotic cell,dendritic reticular cell,0
eukaryotic cell,dermal dendritic cell,0
eukaryotic cell,ecto-epithelial cell,0
eukaryotic cell,electrically active cell,0
eukaryotic cell,electrically responsive cell,0
eukaryotic cell,electrically signaling cell,0
eukaryotic cell,endo-epithelial cell,0
eukaryotic cell,endometrial glandular epithelial cell,0
eukaryotic cell,epc,0
eukaryotic cell,epidermal cell,0
eukaryotic cell,epidermal keratinocyte,0
eukaryotic cell,epithelial cell,0
eukaryotic cell,epithelial cell of alimentary canal,0
eukaryotic cell,epithelial cell of cornea,0
eukaryotic cell,epithelial cell of endometrial gland,0
eukaryotic cell,epithelial cell of esophagus,0
eukaryotic cell,epithelial cell of skin,0
eukaryotic cell,epithelial cell of stomach,0
eukaryotic cell,epithelial cell of stratum corneum of esophageal epithelium,0
eukaryotic cell,epithelial cell of uterus,0
eukaryotic cell,epithelial mesenchymal cell,0
eukaryotic cell,epitheliocyte,0
eukaryotic cell,excretory cell,0
eukaryotic cell,forebrain neuron,0
eukaryotic cell,garland cell,0
eukaryotic cell,garland nephrocyte,0
eukaryotic cell,general ecto-epithelial cell,0
eukaryotic cell,geniculate ganglion vglut2 neuron,0
eukaryotic cell,germ cell,0
eukaryotic cell,germ line cell,0
eukaryotic cell,glandular epithelial cell of endometrium,0
eukaryotic cell,glutamatergic neuron,0
eukaryotic cell,haematopoietic cell,0
eukaryotic cell,haemopoietic cell,0
eukaryotic cell,hair follicle cell,0
eukaryotic cell,hair follicular keratinocyte,0
eukaryotic cell,hematopoietic cell,0
eukaryotic cell,hemopoietic cell,0
eukaryotic cell,immature cd1a-positive dermal dendritic cell,0
eukaryotic cell,immature conventional dendritic cell,0
eukaryotic cell,immature dermal dendritic cell,0
eukaryotic cell,immature myeloid dendritic cell,0
eukaryotic cell,immature t cell,0
eukaryotic cell,immune cell,0
eukaryotic cell,input neuron,0
eukaryotic cell,interferon-producing cell,0
eukaryotic cell,intratelencephalic-projecting glutamatergic cortical neuron,0
eukaryotic cell,ipc,0
eukaryotic cell,it neuron,0
eukaryotic cell,keratin accumulating cell,0
eukaryotic cell,keratincyte of epidermis,0
eukaryotic cell,keratinizing barrier epithelial cell,0
eukaryotic cell,keratinocyte,0
eukaryotic cell,l23-6 intratelencephalic projecting glutamatergic neuron,0
eukaryotic cell,l23-6 it projecting neuron,0
eukaryotic cell,l6 intratelencephalic projecting glutamatergic neuron,0
eukaryotic cell,l6 it,0
eukaryotic cell,leucocyte,0
eukaryotic cell,leukocyte,0
eukaryotic cell,lower urinary tract cell,0
eukaryotic cell,lymphocyte,0
eukaryotic cell,lymphoid dendritic cell,0
eukaryotic cell,male germ cell,0
eukaryotic cell,marrow stromal cells,0
eukaryotic cell,mature alpha-beta t cell,0
eukaryotic cell,mature alpha-beta t lymphocyte,0
eukaryotic cell,mature alpha-beta t-cell,0
eukaryotic cell,mature alpha-beta t-lymphocyte,0
eukaryotic cell,mature t-cell,0
eukaryotic cell,mdc,0
eukaryotic cell,mesenchymal precursor cell,0
eukaryotic cell,mesenchymal progenitor cells,0
eukaryotic cell,mesenchymal stem cell,0
eukaryotic cell,mesenchymal stromal cell,0
eukaryotic cell,mesenchymal stromal cells,0
eukaryotic cell,meso-epithelial cell,0
eukaryotic cell,mitogenic signaling cell,0
eukaryotic cell,mononuclear cell,0
eukaryotic cell,mononuclear leukocyte,0
eukaryotic cell,mononuclear phagocyte,0
eukaryotic cell,motile cell,0
eukaryotic cell,msc,0
eukaryotic cell,multi fate stem cell,0
eukaryotic cell,multi-fate stem cell,0
eukaryotic cell,multifate stem cell,0
eukaryotic cell,multinucleate cell,0
eukaryotic cell,multinucleated cells,0
eukaryotic cell,multipotent cell,0
eukaryotic cell,multipotent stem cell,0
eukaryotic cell,muscle cell,0
eukaryotic cell,muscle fiber,0
