dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
CellOntology_SUB,enteric neuron,intrinsic primary afferent neuron of myenteric plexus,9,1.0,2,2,0
CellOntology_SUB,neural crest derived neuron,autonomic neuron,35,0.0,1,1,1
CellOntology_SUB,autonomic neuron,enteric neuron,16,0.0,2,2,0
CellOntology_SUB,autonomic neuron,sympathetic neuron,16,0.0,2,2,0
CellOntology_SUB,sympathetic neuron,superior cervical ganglion thnpy neuron,9,1.0,2,2,0
CellOntology_SUB,peripheral sensory neuron,"afferent neuron (afferent neuron, sensory neuron)",14,0.0,1,0,1
CellOntology_SUB,"b cell (b cell, lymphocyte of b lineage)","b cell cd19-positive (b cell cd19-positive, lymphocyte of b lineage cd19-positive)",6,1.0,2,8,0
CellOntology_SUB,"b cell (b cell, lymphocyte of b lineage)",mature b cell,6,1.0,2,4,0
CellOntology_SUB,lymphocyte,professional antigen presenting cell,5,1.0,1,1,1
CellOntology_SUB,lymphocyte,"b cell (b cell, lymphocyte of b lineage)",15,0.0,2,4,0
CellOntology_SUB,lymphocyte,t cell,25,0.0,2,2,0
CellOntology_SUB,lymphocyte,be cell,15,0.0,1,1,0
CellOntology_SUB,"hematopoietic cell (hematopoietic cell, leukocyte)",mononuclear leukocyte,45,0.0,2,4,0
CellOntology_SUB,mononuclear leukocyte,single nucleate cell,4,1.0,1,0,1
CellOntology_SUB,mononuclear leukocyte,lymphocyte,52,0.0,2,2,0
CellOntology_SUB,steroid hormone secreting cell,androgen secreting cell,6,1.0,2,2,0
CellOntology_SUB,secretory cell,mucus secreting cell,10,0.0,2,2,0
CellOntology_SUB,secretory cell,steroid hormone secreting cell,10,0.0,2,2,0
CellOntology_SUB,mucus secreting cell,seromucus secreting cell,6,1.0,2,2,1
CellOntology_SUB,secretory epithelial cell,secretory cell,20,0.0,1,0,1
CellOntology_SUB,secretory epithelial cell,duct epithelial cell,16,0.0,1,0,1
CellOntology_SUB,ecto-epithelial cell,neurecto-epithelial cell,4,1.0,1,1,0
CellOntology_SUB,be cell,strial basal cell,12,0.0,1,1,1
CellOntology_SUB,strial basal cell,be1 cell,7,1.0,1,0,1
CellOntology_SUB,sensory epithelial cell,auditory epithelial cell,6,1.0,2,2,0
CellOntology_SUB,sensory epithelial cell,chemoreceptor cell,6,1.0,1,1,1
CellOntology_SUB,sensory epithelial cell,retinal cell,6,1.0,1,1,1
CellOntology_SUB,cholangiocyte,large mucus secreting cholangiocyte,6,1.0,2,2,0
CellOntology_SUB,blood vessel endothelial cell,vein endothelial cell,5,1.0,2,2,0
CellOntology_SUB,blood vessel endothelial cell,schlemms canal endothelial cell,5,1.0,1,1,0
CellOntology_SUB,endothelial cell of vascular tree,blood vessel endothelial cell,12,0.0,2,2,0
CellOntology_SUB,endothelial cell,endothelial cell of vascular tree,12,0.0,2,2,0
CellOntology_SUB,mesenchymal stem cell of adipose tissue,mesenchymal stem cell of orbital adipose tissue,9,1.0,2,2,0
CellOntology_SUB,mesenchymal stem cell,mesenchymal stem cell of adipose tissue,16,0.0,2,2,0
CellOntology_SUB,stem cell,multi fate stem cell,16,0.0,2,2,0
CellOntology_SUB,stem cell,stem cell of gastric gland,4,1.0,2,2,0
CellOntology_SUB,precursor cell,stem cell,18,0.0,2,2,0
CellOntology_SUB,multi fate stem cell,mesenchymal stem cell,15,0.0,2,2,0
CellOntology_SUB,stromal cell,fibroblast,12,0.0,2,2,0
CellOntology_SUB,stromal cell,mesenchymal stem cell,12,0.0,2,2,1
CellOntology_SUB,connective tissue cell,stromal cell,21,0.0,2,2,0
CellOntology_SUB,glial cell,macroglial cell,40,0.0,2,2,0
CellOntology_SUB,vascular leptomeningeal cell,vlmc nn vascular leptomeningeal cell mmus,8,1.0,2,2,0
CellOntology_SUB,macroglial cell,brain macroglial cell,42,0.0,2,2,0
CellOntology_SUB,brain macroglial cell,cerebral cortex glial cell,28,0.0,1,0,1
CellOntology_SUB,brain macroglial cell,vascular leptomeningeal cell,14,0.0,1,1,1
CellOntology_SUB,sensory receptor cell,sensory epithelial cell,16,0.0,1,1,0
CellOntology_SUB,neuron associated cell,glial cell,36,0.0,2,2,0
CellOntology_SUB,cerebral cortex glial cell,astrocyte,24,0.0,1,1,1
CellOntology_SUB,astrocyte of the forebrain,"astrocyte of the cerebral cortex (astrocyte of the cerebral cortex, interlaminar astrocyte)",10,1.0,2,4,0
CellOntology_SUB,astrocyte,astrocyte of the forebrain,18,0.0,2,2,0
CellOntology_SUB,epithelial cell of alimentary canal,epithelial cell of stomach,4,1.0,2,2,0
CellOntology_SUB,alpha-beta t cell,mature t cell,21,0.0,1,1,1
CellOntology_SUB,mature t cell,mature alpha-beta t cell,8,1.0,2,2,0
CellOntology_SUB,mature t cell,mucosal-associated invariant t cell,8,1.0,1,1,0
CellOntology_SUB,t cell,alpha-beta t cell,24,0.0,2,2,0
CellOntology_SUB,wide field retinal amacrine cell,wf4 amacrine cell,9,1.0,2,2,0
CellOntology_SUB,amacrine cell,wide field retinal amacrine cell,16,0.0,2,2,0
CellOntology_SUB,interneuron,amacrine cell,21,0.0,2,2,0
CellOntology_SUB,central nervous system neuron,interneuron,24,0.0,1,1,0
CellOntology_SUB,central nervous system neuron,retinal cell,6,1.0,1,0,1
CellOntology_SUB,respiratory tract epithelial cell,epithelial cell of upper respiratory tract,8,0.0,2,2,0
CellOntology_SUB,epithelial cell of upper respiratory tract,olfactory epithelial cell,5,1.0,2,2,0
CellOntology_SUB,gamete-nursing cell,germline-derived nurse cell,8,0.0,2,2,0
CellOntology_SUB,germline-derived nurse cell,invertebrate nurse cell,5,1.0,1,1,0
CellOntology_SUB,mesothelial fibroblast,mesothelial fibroblast of the leptomeninx,6,1.0,2,2,0
CellOntology_SUB,fibroblast,mesothelial fibroblast,10,0.0,2,2,0
