dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
CellOntology_SUB,epithelial cell of alimentary canal,epithelial cell of stomach,6,1.0,0,1,0
CellOntology_SUB,duct epithelial cell,branched duct epithelial cell,7,1.0,0,2,0
CellOntology_SUB,duct epithelial cell,cholangiocyte,14,0.0,0,2,0
CellOntology_SUB,cholangiocyte,large mucus secreting cholangiocyte,8,1.0,0,1,0
CellOntology_SUB,neuron,central nervous system neuron,36,0.0,1,2,0
CellOntology_SUB,neuron,peripheral nervous system neuron,90,0.0,1,2,0
CellOntology_SUB,neuron,interneuron,9,1.0,1,2,0
CellOntology_SUB,glial cell,macroglial cell,30,0.75,0,1,0
CellOntology_SUB,glial cell,astrocyte of the cerebral cortex,6,1.0,0,1,0
CellOntology_SUB,glial cell,astrocyte of the forebrain,6,1.0,0,1,0
CellOntology_SUB,glial cell,interlaminar astrocyte,6,1.0,0,1,0
CellOntology_SUB,central nervous system neuron,wide field retinal amacrine cell,30,0.0,0,1,0
CellOntology_SUB,peripheral nervous system neuron,sensory neuron,30,0.0,0,2,1
CellOntology_SUB,peripheral nervous system neuron,autonomic neuron,40,0.0,0,2,0
CellOntology_SUB,peripheral nervous system neuron,neural crest derived neuron,10,1.0,0,1,1
CellOntology_SUB,peripheral nervous system neuron,superior cervical ganglion thnpy neuron,10,1.0,0,1,0
CellOntology_SUB,sensory neuron,peripheral sensory neuron,11,1.0,0,2,0
CellOntology_SUB,sensory neuron,afferent neuron,11,1.0,0,2,1
CellOntology_SUB,autonomic neuron,sympathetic neuron,11,1.0,0,2,0
CellOntology_SUB,autonomic neuron,enteric neuron,22,0.0,0,1,0
CellOntology_SUB,amacrine cell,wf4 amacrine cell,13,1.0,0,1,0
CellOntology_SUB,macroglial cell,astrocyte,28,1.0,0,1,0
CellOntology_SUB,macroglial cell,astrocyte of the cerebral cortex,7,1.0,0,1,0
CellOntology_SUB,macroglial cell,astrocyte of the forebrain,7,1.0,0,1,0
CellOntology_SUB,macroglial cell,interlaminar astrocyte,7,1.0,0,1,0
CellOntology_SUB,leukocyte,mononuclear leukocyte,66,0.0,0,1,0
CellOntology_SUB,mononuclear leukocyte,lymphocyte,70,0.0,0,1,0
CellOntology_SUB,lymphocyte,t cell,32,0.0,0,1,0
CellOntology_SUB,lymphocyte,b cell,40,0.0,0,1,0
CellOntology_SUB,t cell,"alpha-beta t cell (alpha-beta t cell, mature alpha-beta t cell)",18,0.0,0,1,0
CellOntology_SUB,t cell,mature t cell,9,1.0,0,1,0
CellOntology_SUB,b cell,lymphocyte of b lineage,27,0.0,0,1,1
CellOntology_SUB,b cell,mature b cell,9,1.0,0,1,0
CellOntology_SUB,steroid hormone secreting cell,androgen secreting cell,6,1.0,0,1,0
CellOntology_SUB,germ cell,male germ cell,2,0.0,0,1,0
CellOntology_SUB,germ cell,germ line cell,4,0.0,0,1,1
CellOntology_SUB,male germ cell,spermatid,2,1.0,0,1,0
CellOntology_SUB,germ line cell,gamete-nursing cell,6,0.0,0,1,1
CellOntology_SUB,gamete-nursing cell,germline-derived nurse cell,3,1.0,0,1,0
CellOntology_SUB,gamete-nursing cell,invertebrate nurse cell,3,1.0,0,1,0
CellOntology_SUB,endothelial cell,"blood vessel endothelial cell (blood vessel endothelial cell, endothelial cell of vascular tree)",3,0.5,0,1,0
CellOntology_SUB,endothelial cell,schlemms canal endothelial cell,1,1.0,0,1,0
CellOntology_SUB,connective tissue cell,fibroblast,3,1.0,0,1,0
CellOntology_SUB,connective tissue cell,mesothelial fibroblast,2,1.0,0,1,0
CellOntology_SUB,connective tissue cell,mesothelial fibroblast of the leptomeninx,1,1.0,0,1,0
CellOntology_SUB,fibroblast,mesothelial fibroblast,6,0.0,0,1,0
CellOntology_SUB,mesothelial fibroblast,mesothelial fibroblast of the leptomeninx,4,1.0,0,1,0
CellOntology_SUB,stromal cell,fibroblast,3,1.0,0,1,0
CellOntology_SUB,stromal cell,mesothelial fibroblast,2,1.0,0,1,0
CellOntology_SUB,stromal cell,mesothelial fibroblast of the leptomeninx,1,1.0,0,1,0
CellOntology_SUB,electrically active cell,electrically signaling cell,18,0.0,0,1,0
CellOntology_SUB,electrically signaling cell,electrically responsive cell,34,0.0,0,1,1
CellOntology_SUB,electrically responsive cell,neuron,48,0.0,0,1,0
CellOntology_SUB,cell,be1 cell,1,1.0,0,1,0
CellOntology_SUB,enteric neuron,intrinsic primary afferent neuron of myenteric plexus,12,1.0,0,1,0
